"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Sampler 7","0","User interface → Data presentation → Label","1","0","Aceder ao componente do tipo Data presentation (Label)","0"
"0","","0","","8","0","","0"
